Rank,Options,Speedup
1,-mem2reg -loop-sink -early-cse-memssa -instcombine -licm -gvn -dse -memcpyopt -loop-distribute -assumption-cache-tracker -simplifycfg -domtree -early-cse -inferattrs -called-value-propagation -deadargelim -basic-aa -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -globals-aa -inline -openmp-opt-cgscc -argpromotion -speculative-execution -correlated-propagation -postdomtree -block-freq -pgo-memop-opt -tailcallelim -lcssa-verification -loop-rotate -indvars -phi-values -demanded-bits -bdce -barrier -elim-avail-extern -globaldce -float2int -loop-accesses -loop-load-elim -slp-vectorizer -alignment-from-assumptions -cg-profile -instsimplify -annotation-remarks,1.2032
2,-mem2reg -loop-sink -lcssa -loop-unroll -licm -gvn -instcombine -memcpyopt -loop-distribute -scoped-noalias-aa -forceattrs -called-value-propagation -deadargelim -basic-aa -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -argpromotion -memoryssa -libcalls-shrinkwrap -postdomtree -branch-prob -block-freq -pgo-memop-opt -tailcallelim -lcssa-verification -scalar-evolution -loop-rotate -phi-values -demanded-bits -adce -elim-avail-extern -float2int -lower-constant-intrinsics -loop-load-elim -slp-vectorizer -cg-profile -instsimplify -annotation-remarks,1.1783
3,-mem2reg -loop-sink -early-cse-memssa -dse -licm -gvn -instcombine -memcpyopt -loop-distribute -domtree -profile-summary-info -forceattrs -callsite-splitting -called-value-propagation -deadargelim -basic-aa -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -globals-aa -openmp-opt-cgscc -function-attrs -argpromotion -memoryssa -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -branch-prob -block-freq -pgo-memop-opt -tailcallelim -lcssa-verification -scalar-evolution -phi-values -memdep -demanded-bits -elim-avail-extern -globaldce -float2int -loop-load-elim -slp-vectorizer -alignment-from-assumptions -cg-profile -instsimplify,1.1466
4,-sroa -jump-threading -prune-eh -mem2reg -loop-sink -loop-distribute -early-cse-memssa -instcombine -licm -gvn -dse -tti -scoped-noalias-aa -targetlibinfo -lower-expect -callsite-splitting -called-value-propagation -deadargelim -basic-aa -aa -loops -lazy-branch-prob -opt-remark-emitter -globals-aa -function-attrs -argpromotion -memoryssa -correlated-propagation -aggressive-instcombine -postdomtree -block-freq -pgo-memop-opt -tailcallelim -loop-simplify -lcssa-verification -phi-values -demanded-bits -adce -barrier -elim-avail-extern -float2int -lower-constant-intrinsics -loop-load-elim -slp-vectorizer -constmerge -cg-profile -instsimplify,1.1435
5,-mem2reg -loop-sink -instcombine -early-cse-memssa -dse -lcssa -loop-unroll -memcpyopt -loop-distribute -scoped-noalias-aa -targetlibinfo -lower-expect -domtree -inferattrs -callsite-splitting -globalopt -aa -loops -lazy-branch-prob -opt-remark-emitter -basiccg -globals-aa -inline -openmp-opt-cgscc -function-attrs -argpromotion -memoryssa -speculative-execution -correlated-propagation -aggressive-instcombine -branch-prob -block-freq -loop-simplify -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -phi-values -memdep -sccp -demanded-bits -elim-avail-extern -float2int -loop-load-elim -slp-vectorizer -vector-combine -alignment-from-assumptions -cg-profile -instsimplify -annotation-remarks,1.0990
