Rank,Options,Speedup
1,-mem2reg -dse -early-cse-memssa -instcombine -lcssa -loop-unroll -licm -gvn -prune-eh -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -early-cse -profile-summary-info -annotation2metadata -inferattrs -called-value-propagation -globalopt -deadargelim -aa -loops -lazy-branch-prob -opt-remark-emitter -function-attrs -memoryssa -speculative-execution -lazy-value-info -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -tailcallelim -loop-simplify -lcssa-verification -loop-unswitch -loop-idiom -indvars -mldst-motion -phi-values -memdep -sccp -demanded-bits -bdce -rpo-function-attrs -float2int -loop-accesses -inject-tli-mappings -loop-vectorize -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -instsimplify,1.2214
2,-prune-eh -mem2reg -loop-sink -instcombine -early-cse-memssa -licm -gvn -dse -memcpyopt -loop-distribute -tti -tbaa -assumption-cache-tracker -domtree -profile-summary-info -forceattrs -globalopt -deadargelim -basic-aa -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -basiccg -speculative-execution -lazy-value-info -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -branch-prob -pgo-memop-opt -tailcallelim -lcssa-verification -loop-rotate -loop-unswitch -loop-idiom -indvars -mldst-motion -phi-values -memdep -sccp -demanded-bits -adce -rpo-function-attrs -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -constmerge -cg-profile -annotation-remarks,1.1191
3,-mem2reg -loop-sink -loop-distribute -lcssa -loop-unroll -licm -gvn -dse -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -verify -early-cse -profile-summary-info -annotation2metadata -forceattrs -called-value-propagation -basic-aa -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -globals-aa -inline -openmp-opt-cgscc -function-attrs -argpromotion -speculative-execution -lazy-value-info -aggressive-instcombine -libcalls-shrinkwrap -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -lcssa-verification -scalar-evolution -loop-unswitch -loop-idiom -indvars -phi-values -memdep -sccp -demanded-bits -bdce -elim-avail-extern -rpo-function-attrs -float2int -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -vector-combine -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -div-rem-pairs,1.0645
4,-mem2reg -loop-sink -early-cse-memssa -instcombine -lcssa -loop-unroll -licm -gvn -dse -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -early-cse -profile-summary-info -forceattrs -inferattrs -callsite-splitting -ipsccp -called-value-propagation -globalopt -deadargelim -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -basiccg -globals-aa -function-attrs -argpromotion -speculative-execution -lazy-value-info -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -tailcallelim -loop-simplify -scalar-evolution -loop-rotate -loop-idiom -indvars -mldst-motion -phi-values -memdep -sccp -demanded-bits -bdce -adce -rpo-function-attrs -float2int -lower-constant-intrinsics -inject-tli-mappings -loop-vectorize -loop-load-elim -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -annotation-remarks,1.0639
5,-sroa -jump-threading -mem2reg -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -early-cse -profile-summary-info -ipsccp -called-value-propagation -globalopt -loops -opt-remark-emitter -openmp-opt-cgscc -function-attrs -lazy-value-info -correlated-propagation -aggressive-instcombine -postdomtree -block-freq -pgo-memop-opt -tailcallelim -loop-simplify -lcssa-verification -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -mldst-motion -phi-values -memdep -sccp -demanded-bits -bdce -barrier -rpo-function-attrs -float2int -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -transform-warning -strip-dead-prototypes -constmerge -cg-profile -instsimplify -div-rem-pairs,1.0616
