Rank,Options,Speedup
1,-sroa -jump-threading -prune-eh -mem2reg -instcombine -early-cse-memssa -licm -gvn -dse -assumption-cache-tracker -targetlibinfo -early-cse -annotation2metadata -forceattrs -callsite-splitting -called-value-propagation -deadargelim -lazy-block-freq -basiccg -openmp-opt-cgscc -function-attrs -argpromotion -speculative-execution -lazy-value-info -correlated-propagation -libcalls-shrinkwrap -postdomtree -branch-prob -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -phi-values -adce -barrier -elim-avail-extern -rpo-function-attrs -globaldce -float2int -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -constmerge -cg-profile -div-rem-pairs -annotation-remarks,1.6694
2,-sroa -jump-threading -mem2reg -prune-eh -early-cse-memssa -instcombine -licm -gvn -dse -tbaa -scoped-noalias-aa -lower-expect -domtree -early-cse -annotation2metadata -forceattrs -inferattrs -callsite-splitting -called-value-propagation -globalopt -loops -lazy-branch-prob -lazy-block-freq -basiccg -openmp-opt-cgscc -function-attrs -lazy-value-info -correlated-propagation -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -phi-values -memdep -sccp -bdce -adce -barrier -elim-avail-extern -rpo-function-attrs -globaldce -inject-tli-mappings -loop-load-elim -vector-combine -constmerge -div-rem-pairs,1.5225
3,-sroa -jump-threading -prune-eh -mem2reg -loop-sink -instcombine -early-cse-memssa -licm -gvn -dse -memcpyopt -loop-distribute -tti -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -lower-expect -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -inferattrs -callsite-splitting -ipsccp -called-value-propagation -globalopt -deadargelim -basic-aa -aa -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -basiccg -globals-aa -openmp-opt-cgscc -argpromotion -lazy-value-info -libcalls-shrinkwrap -postdomtree -tailcallelim -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -memdep -sccp -demanded-bits -bdce -adce -barrier -elim-avail-extern -rpo-function-attrs -globaldce -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -vector-combine -constmerge -cg-profile,1.5109
4,-mem2reg -early-cse-memssa -instcombine -lcssa -loop-unroll -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -targetlibinfo -early-cse -annotation2metadata -forceattrs -callsite-splitting -called-value-propagation -globalopt -deadargelim -aa -lazy-branch-prob -basiccg -inline -openmp-opt-cgscc -lazy-value-info -libcalls-shrinkwrap -postdomtree -branch-prob -pgo-memop-opt -scalar-evolution -loop-rotate -indvars -mldst-motion -phi-values -memdep -sccp -bdce -barrier -elim-avail-extern -globaldce -inject-tli-mappings -loop-load-elim -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -instsimplify,1.4671
5,-mem2reg -prune-eh -licm -gvn -instcombine -lower-expect -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -inferattrs -called-value-propagation -globalopt -basic-aa -loops -lazy-block-freq -basiccg -globals-aa -openmp-opt-cgscc -memoryssa -aggressive-instcombine -libcalls-shrinkwrap -tailcallelim -reassociate -loop-simplify -loop-idiom -indvars -loop-deletion -mldst-motion -memdep -sccp -bdce -barrier -elim-avail-extern -rpo-function-attrs -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -constmerge -instsimplify -div-rem-pairs,1.4605
