Rank,Options,Speedup
1,-instcombine -mem2reg -early-cse-memssa -dse -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -lower-expect -simplifycfg -early-cse -annotation2metadata -inferattrs -callsite-splitting -ipsccp -called-value-propagation -deadargelim -basic-aa -lazy-block-freq -opt-remark-emitter -basiccg -function-attrs -argpromotion -speculative-execution -correlated-propagation -libcalls-shrinkwrap -block-freq -tailcallelim -reassociate -loop-simplify -lcssa-verification -barrier -rpo-function-attrs -globaldce -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-load-elim -slp-vectorizer -vector-combine -alignment-from-assumptions -constmerge -cg-profile -instsimplify -annotation-remarks,1.7056
2,-mem2reg -dse -early-cse-memssa -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -simplifycfg -early-cse -annotation2metadata -callsite-splitting -ipsccp -called-value-propagation -deadargelim -basic-aa -aa -lazy-block-freq -opt-remark-emitter -openmp-opt-cgscc -function-attrs -speculative-execution -correlated-propagation -libcalls-shrinkwrap -tailcallelim -reassociate -loop-simplify -lcssa-verification -indvars -mldst-motion -memdep -sccp -demanded-bits -barrier -elim-avail-extern -rpo-function-attrs -loop-accesses -inject-tli-mappings -loop-load-elim -vector-combine -transform-warning -alignment-from-assumptions -cg-profile -instsimplify -annotation-remarks,1.4884
3,-prune-eh -mem2reg -early-cse-memssa -lcssa -loop-unroll -instcombine -licm -gvn -dse -memcpyopt -loop-distribute -tti -tbaa -targetlibinfo -verify -simplifycfg -early-cse -profile-summary-info -annotation2metadata -callsite-splitting -ipsccp -called-value-propagation -deadargelim -basic-aa -aa -loops -lazy-block-freq -opt-remark-emitter -globals-aa -inline -openmp-opt-cgscc -function-attrs -memoryssa -speculative-execution -correlated-propagation -libcalls-shrinkwrap -block-freq -tailcallelim -reassociate -loop-simplify -lcssa-verification -loop-unswitch -indvars -sccp -demanded-bits -elim-avail-extern -rpo-function-attrs -float2int -loop-accesses -loop-load-elim -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs,1.4817
4,-mem2reg -dse -early-cse-memssa -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -verify -simplifycfg -early-cse -annotation2metadata -callsite-splitting -ipsccp -called-value-propagation -deadargelim -aa -loops -lazy-block-freq -opt-remark-emitter -globals-aa -inline -openmp-opt-cgscc -function-attrs -argpromotion -memoryssa -speculative-execution -correlated-propagation -libcalls-shrinkwrap -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -lcssa-verification -loop-unswitch -indvars -mldst-motion -memdep -sccp -demanded-bits -elim-avail-extern -rpo-function-attrs -float2int -loop-accesses -inject-tli-mappings -loop-load-elim -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.4805
5,-mem2reg -dse -early-cse-memssa -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -callsite-splitting -ipsccp -called-value-propagation -deadargelim -basic-aa -lazy-block-freq -opt-remark-emitter -function-attrs -speculative-execution -correlated-propagation -libcalls-shrinkwrap -postdomtree -branch-prob -tailcallelim -reassociate -loop-simplify -loop-unswitch -loop-deletion -memdep -demanded-bits -barrier -elim-avail-extern -rpo-function-attrs -globaldce -float2int -loop-accesses -inject-tli-mappings -transform-warning -alignment-from-assumptions -constmerge -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.4787
