Rank,Options,Speedup
1,-sroa -jump-threading -prune-eh -mem2reg -gvn -instcombine -early-cse-memssa -dse -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -domtree -annotation2metadata -inferattrs -callsite-splitting -ipsccp -loops -lazy-block-freq -opt-remark-emitter -basiccg -inline -function-attrs -argpromotion -memoryssa -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -tailcallelim -reassociate -lcssa-verification -loop-rotate -loop-unswitch -loop-idiom -loop-deletion -mldst-motion -memdep -demanded-bits -bdce -adce -globaldce -loop-accesses -loop-vectorize -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.5264
2,-mem2reg -dse -licm -gvn -prune-eh -memcpyopt -loop-distribute -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -domtree -annotation2metadata -forceattrs -inferattrs -callsite-splitting -loops -lazy-block-freq -opt-remark-emitter -basiccg -globals-aa -function-attrs -argpromotion -memoryssa -speculative-execution -lazy-value-info -postdomtree -tailcallelim -loop-rotate -loop-unswitch -loop-idiom -mldst-motion -demanded-bits -bdce -adce -barrier -globaldce -float2int -loop-accesses -loop-vectorize -strip-dead-prototypes -instsimplify -div-rem-pairs -annotation-remarks,1.4449
3,-sroa -jump-threading -licm -gvn -dse -tti -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -lower-expect -domtree -early-cse -forceattrs -inferattrs -callsite-splitting -called-value-propagation -deadargelim -loops -lazy-block-freq -opt-remark-emitter -basiccg -globals-aa -function-attrs -argpromotion -memoryssa -speculative-execution -lazy-value-info -libcalls-shrinkwrap -postdomtree -block-freq -pgo-memop-opt -tailcallelim -loop-simplify -lcssa-verification -loop-rotate -loop-unswitch -loop-idiom -loop-deletion -mldst-motion -memdep -sccp -demanded-bits -bdce -adce -globaldce -slp-vectorizer -vector-combine -strip-dead-prototypes -instsimplify -div-rem-pairs -annotation-remarks,1.4115
4,-instcombine -mem2reg -loop-sink -early-cse-memssa -dse -licm -gvn -prune-eh -memcpyopt -loop-distribute -tbaa -early-cse -profile-summary-info -annotation2metadata -forceattrs -callsite-splitting -ipsccp -globalopt -basic-aa -aa -opt-remark-emitter -basiccg -memoryssa -aggressive-instcombine -postdomtree -block-freq -pgo-memop-opt -tailcallelim -loop-idiom -loop-deletion -phi-values -demanded-bits -adce -elim-avail-extern -rpo-function-attrs -globaldce -inject-tli-mappings -loop-load-elim -alignment-from-assumptions -cg-profile -instsimplify -annotation-remarks,1.3973
5,-mem2reg -dse -instcombine -licm -gvn -prune-eh -tbaa -assumption-cache-tracker -targetlibinfo -verify -lower-expect -simplifycfg -annotation2metadata -forceattrs -inferattrs -callsite-splitting -ipsccp -globalopt -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -basiccg -globals-aa -openmp-opt-cgscc -function-attrs -memoryssa -speculative-execution -lazy-value-info -libcalls-shrinkwrap -tailcallelim -reassociate -scalar-evolution -loop-unswitch -loop-idiom -mldst-motion -bdce -adce -barrier -rpo-function-attrs -globaldce -float2int -loop-accesses -loop-vectorize -transform-warning -constmerge -cg-profile -instsimplify -annotation-remarks,1.3647
