Rank,Options,Speedup
1,-sroa -jump-threading -mem2reg -instcombine -early-cse-memssa -lcssa -loop-unroll -licm -gvn -dse -scoped-noalias-aa -verify -annotation2metadata -inferattrs -callsite-splitting -ipsccp -called-value-propagation -globalopt -deadargelim -basic-aa -loops -opt-remark-emitter -speculative-execution -aggressive-instcombine -postdomtree -block-freq -tailcallelim -reassociate -lcssa-verification -loop-rotate -loop-unswitch -indvars -loop-deletion -mldst-motion -sccp -globaldce -lower-constant-intrinsics -loop-accesses -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -constmerge -instsimplify -div-rem-pairs -annotation-remarks,3.8045
2,-mem2reg -instcombine -early-cse-memssa -lcssa -loop-unroll -prune-eh -licm -gvn -dse -tbaa -scoped-noalias-aa -targetlibinfo -verify -simplifycfg -annotation2metadata -forceattrs -inferattrs -ipsccp -globalopt -basic-aa -loops -opt-remark-emitter -basiccg -function-attrs -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -tailcallelim -reassociate -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -indvars -phi-values -memdep -sccp -barrier -elim-avail-extern -rpo-function-attrs -lower-constant-intrinsics -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -strip-dead-prototypes -constmerge -cg-profile -div-rem-pairs -annotation-remarks,3.0071
3,-sroa -jump-threading -mem2reg -loop-sink -loop-distribute -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -tti -scoped-noalias-aa -simplifycfg -annotation2metadata -inferattrs -callsite-splitting -called-value-propagation -globalopt -deadargelim -basic-aa -loops -lazy-branch-prob -opt-remark-emitter -function-attrs -aggressive-instcombine -postdomtree -block-freq -pgo-memop-opt -tailcallelim -loop-rotate -loop-unswitch -indvars -mldst-motion -sccp -adce -barrier -elim-avail-extern -lower-constant-intrinsics -inject-tli-mappings -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -strip-dead-prototypes -constmerge -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,2.6896
4,-sroa -jump-threading -mem2reg -instcombine -early-cse-memssa -lcssa -loop-unroll -licm -gvn -dse -scoped-noalias-aa -verify -lower-expect -profile-summary-info -forceattrs -inferattrs -callsite-splitting -globalopt -deadargelim -basic-aa -loops -lazy-block-freq -opt-remark-emitter -inline -speculative-execution -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -block-freq -tailcallelim -reassociate -scalar-evolution -loop-rotate -loop-idiom -loop-deletion -mldst-motion -sccp -bdce -elim-avail-extern -globaldce -lower-constant-intrinsics -loop-accesses -loop-load-elim -slp-vectorizer -transform-warning -alignment-from-assumptions -constmerge -instsimplify -div-rem-pairs -annotation-remarks,2.2214
5,-instcombine -early-cse-memssa -lcssa -loop-unroll -prune-eh -licm -gvn -dse -scoped-noalias-aa -assumption-cache-tracker -simplifycfg -annotation2metadata -forceattrs -ipsccp -called-value-propagation -globalopt -deadargelim -basic-aa -loops -opt-remark-emitter -speculative-execution -aggressive-instcombine -postdomtree -block-freq -tailcallelim -loop-simplify -loop-rotate -loop-unswitch -mldst-motion -sccp -globaldce -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -vector-combine -strip-dead-prototypes -instsimplify -div-rem-pairs,2.1092
