Rank,Options,Speedup
1,-sroa -jump-threading -mem2reg -loop-sink -loop-distribute -early-cse-memssa -dse -lcssa -loop-unroll -instcombine -licm -gvn -prune-eh -tti -tbaa -assumption-cache-tracker -targetlibinfo -lower-expect -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -ipsccp -called-value-propagation -deadargelim -basic-aa -loops -opt-remark-emitter -globals-aa -openmp-opt-cgscc -function-attrs -argpromotion -memoryssa -speculative-execution -aggressive-instcombine -postdomtree -branch-prob -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -indvars -loop-deletion -mldst-motion -memdep -sccp -bdce -adce -elim-avail-extern -rpo-function-attrs -globaldce -loop-accesses -loop-load-elim -vector-combine -transform-warning -strip-dead-prototypes -constmerge -cg-profile -annotation-remarks,3.6097
2,-mem2reg -loop-sink -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -assumption-cache-tracker -targetlibinfo -domtree -early-cse -annotation2metadata -inferattrs -callsite-splitting -ipsccp -called-value-propagation -aa -loops -basiccg -inline -openmp-opt-cgscc -function-attrs -speculative-execution -lazy-value-info -libcalls-shrinkwrap -branch-prob -block-freq -reassociate -loop-simplify -lcssa-verification -scalar-evolution -loop-unswitch -indvars -phi-values -memdep -bdce -adce -elim-avail-extern -float2int -lower-constant-intrinsics -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,2.6197
3,-dse -mem2reg -loop-sink -early-cse-memssa -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -scoped-noalias-aa -targetlibinfo -domtree -early-cse -profile-summary-info -annotation2metadata -inferattrs -callsite-splitting -called-value-propagation -globalopt -basic-aa -aa -loops -opt-remark-emitter -basiccg -inline -openmp-opt-cgscc -memoryssa -aggressive-instcombine -postdomtree -branch-prob -pgo-memop-opt -loop-simplify -lcssa-verification -loop-rotate -loop-unswitch -indvars -loop-deletion -mldst-motion -phi-values -memdep -adce -elim-avail-extern -float2int -loop-load-elim -transform-warning -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,2.3614
4,-sroa -jump-threading -mem2reg -loop-sink -loop-distribute -early-cse-memssa -lcssa -loop-unroll -instcombine -licm -gvn -prune-eh -tti -tbaa -targetlibinfo -lower-expect -domtree -profile-summary-info -annotation2metadata -forceattrs -ipsccp -called-value-propagation -deadargelim -basic-aa -basiccg -function-attrs -argpromotion -memoryssa -correlated-propagation -aggressive-instcombine -postdomtree -tailcallelim -reassociate -lcssa-verification -indvars -loop-deletion -mldst-motion -memdep -bdce -adce -elim-avail-extern -rpo-function-attrs -globaldce -loop-accesses -inject-tli-mappings -loop-load-elim -vector-combine -transform-warning -strip-dead-prototypes -constmerge -instsimplify -annotation-remarks,2.3495
5,-mem2reg -loop-sink -loop-distribute -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -scoped-noalias-aa -targetlibinfo -verify -lower-expect -simplifycfg -domtree -annotation2metadata -forceattrs -callsite-splitting -called-value-propagation -globalopt -basic-aa -aa -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -globals-aa -inline -openmp-opt-cgscc -argpromotion -lazy-value-info -correlated-propagation -branch-prob -block-freq -loop-simplify -loop-deletion -phi-values -memdep -bdce -barrier -elim-avail-extern -rpo-function-attrs -float2int -lower-constant-intrinsics -loop-load-elim -transform-warning -alignment-from-assumptions -cg-profile -instsimplify -annotation-remarks,2.2164
