Rank,Options,Speedup
1,-mem2reg -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -tti -scoped-noalias-aa -verify -lower-expect -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -inferattrs -callsite-splitting -called-value-propagation -globalopt -deadargelim -basic-aa -aa -loops -lazy-block-freq -opt-remark-emitter -basiccg -inline -function-attrs -argpromotion -memoryssa -speculative-execution -lazy-value-info -correlated-propagation -libcalls-shrinkwrap -postdomtree -block-freq -pgo-memop-opt -reassociate -loop-simplify -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -phi-values -sccp -adce -barrier -rpo-function-attrs -globaldce -lower-constant-intrinsics -inject-tli-mappings -loop-vectorize -vector-combine -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile,1.3308
2,-early-cse-memssa -dse -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -tbaa -lower-expect -simplifycfg -domtree -annotation2metadata -inferattrs -callsite-splitting -ipsccp -aa -loops -lazy-block-freq -opt-remark-emitter -basiccg -globals-aa -inline -function-attrs -memoryssa -lazy-value-info -correlated-propagation -libcalls-shrinkwrap -branch-prob -pgo-memop-opt -reassociate -scalar-evolution -loop-rotate -loop-deletion -memdep -adce -barrier -elim-avail-extern -rpo-function-attrs -globaldce -lower-constant-intrinsics -inject-tli-mappings -loop-vectorize -cg-profile -instsimplify,1.2613
3,-mem2reg -loop-sink -loop-distribute -early-cse-memssa -instcombine -lcssa -loop-unroll -prune-eh -licm -gvn -dse -tti -targetlibinfo -verify -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -callsite-splitting -ipsccp -called-value-propagation -deadargelim -basic-aa -loops -opt-remark-emitter -basiccg -inline -function-attrs -argpromotion -memoryssa -speculative-execution -lazy-value-info -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -block-freq -reassociate -loop-simplify -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -indvars -loop-deletion -mldst-motion -phi-values -memdep -demanded-bits -adce -rpo-function-attrs -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -vector-combine -alignment-from-assumptions -strip-dead-prototypes -constmerge,1.2530
4,-sroa -jump-threading -mem2reg -loop-sink -loop-distribute -instcombine -early-cse-memssa -dse -licm -gvn -prune-eh -tti -targetlibinfo -verify -simplifycfg -domtree -early-cse -forceattrs -inferattrs -callsite-splitting -called-value-propagation -basic-aa -aa -loops -lazy-block-freq -opt-remark-emitter -basiccg -inline -function-attrs -lazy-value-info -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -lcssa-verification -loop-rotate -indvars -loop-deletion -mldst-motion -phi-values -demanded-bits -adce -barrier -rpo-function-attrs -lower-constant-intrinsics -inject-tli-mappings -loop-vectorize -loop-load-elim -vector-combine -transform-warning -alignment-from-assumptions -constmerge -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.2288
5,-mem2reg -loop-sink -loop-distribute -instcombine -early-cse-memssa -lcssa -loop-unroll -prune-eh -licm -gvn -dse -tti -tbaa -scoped-noalias-aa -domtree -early-cse -inferattrs -callsite-splitting -called-value-propagation -basic-aa -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -basiccg -inline -openmp-opt-cgscc -argpromotion -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -branch-prob -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -phi-values -demanded-bits -adce -barrier -rpo-function-attrs -globaldce -lower-constant-intrinsics -inject-tli-mappings -loop-load-elim -alignment-from-assumptions -constmerge -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.2042
