Rank,Options,Speedup
1,-sroa -jump-threading -mem2reg -loop-sink -early-cse-memssa -dse -lcssa -loop-unroll -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -scoped-noalias-aa -assumption-cache-tracker -lower-expect -forceattrs -inferattrs -called-value-propagation -loops -lazy-branch-prob -opt-remark-emitter -basiccg -globals-aa -inline -openmp-opt-cgscc -memoryssa -correlated-propagation -libcalls-shrinkwrap -branch-prob -block-freq -pgo-memop-opt -tailcallelim -loop-simplify -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -mldst-motion -phi-values -sccp -demanded-bits -bdce -adce -barrier -elim-avail-extern -float2int -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -cg-profile -instsimplify -annotation-remarks,3.2552
2,-mem2reg -loop-sink -early-cse-memssa -dse -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tbaa -assumption-cache-tracker -lower-expect -domtree -profile-summary-info -forceattrs -inferattrs -called-value-propagation -loops -lazy-block-freq -opt-remark-emitter -memoryssa -lazy-value-info -correlated-propagation -block-freq -pgo-memop-opt -loop-simplify -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -mldst-motion -demanded-bits -adce -barrier -globaldce -float2int -loop-accesses -loop-load-elim -slp-vectorizer -transform-warning -alignment-from-assumptions -strip-dead-prototypes -instsimplify -annotation-remarks,2.5333
3,-prune-eh -mem2reg -loop-sink -early-cse-memssa -dse -lcssa -loop-unroll -licm -gvn -instcombine -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -lower-expect -inferattrs -callsite-splitting -called-value-propagation -deadargelim -loops -lazy-branch-prob -opt-remark-emitter -basiccg -globals-aa -openmp-opt-cgscc -memoryssa -speculative-execution -libcalls-shrinkwrap -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -loop-rotate -loop-unswitch -loop-idiom -indvars -phi-values -memdep -sccp -demanded-bits -bdce -adce -barrier -elim-avail-extern -float2int -inject-tli-mappings -vector-combine -transform-warning -alignment-from-assumptions -cg-profile -annotation-remarks,2.4063
4,-sroa -jump-threading -early-cse-memssa -dse -lcssa -loop-unroll -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -forceattrs -inferattrs -ipsccp -lazy-branch-prob -opt-remark-emitter -basiccg -inline -memoryssa -speculative-execution -lazy-value-info -libcalls-shrinkwrap -branch-prob -block-freq -pgo-memop-opt -tailcallelim -reassociate -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -mldst-motion -phi-values -demanded-bits -adce -barrier -elim-avail-extern -float2int -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,2.1957
5,-sroa -jump-threading -mem2reg -loop-sink -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -tti -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -domtree -inferattrs -ipsccp -called-value-propagation -globalopt -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -basiccg -inline -openmp-opt-cgscc -argpromotion -memoryssa -correlated-propagation -libcalls-shrinkwrap -branch-prob -block-freq -pgo-memop-opt -tailcallelim -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -phi-values -demanded-bits -bdce -adce -barrier -elim-avail-extern -rpo-function-attrs -float2int -lower-constant-intrinsics -loop-accesses -loop-vectorize -slp-vectorizer -transform-warning -alignment-from-assumptions -constmerge -instsimplify -annotation-remarks,2.1414
