Rank,Options,Speedup
1,-mem2reg -loop-sink -early-cse-memssa -instcombine -lcssa -loop-unroll -licm -gvn -dse -memcpyopt -loop-distribute -tti -tbaa -assumption-cache-tracker -verify -lower-expect -simplifycfg -early-cse -profile-summary-info -globalopt -deadargelim -loops -lazy-branch-prob -lazy-block-freq -openmp-opt-cgscc -argpromotion -speculative-execution -libcalls-shrinkwrap -postdomtree -branch-prob -pgo-memop-opt -tailcallelim -reassociate -lcssa-verification -scalar-evolution -indvars -loop-deletion -memdep -demanded-bits -adce -barrier -elim-avail-extern -rpo-function-attrs -globaldce -float2int -loop-vectorize -slp-vectorizer -vector-combine -constmerge -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,2.3911
2,-mem2reg -loop-sink -early-cse-memssa -instcombine -lcssa -loop-unroll -memcpyopt -loop-distribute -tti -assumption-cache-tracker -targetlibinfo -verify -lower-expect -callsite-splitting -deadargelim -opt-remark-emitter -basiccg -globals-aa -function-attrs -speculative-execution -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -reassociate -loop-simplify -loop-rotate -indvars -loop-deletion -memdep -demanded-bits -bdce -adce -barrier -globaldce -float2int -inject-tli-mappings -slp-vectorizer -vector-combine -constmerge -cg-profile -div-rem-pairs,2.0818
3,-sroa -jump-threading -prune-eh -mem2reg -gvn -instcombine -early-cse-memssa -dse -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -lower-expect -early-cse -annotation2metadata -forceattrs -callsite-splitting -ipsccp -globalopt -basic-aa -aa -loops -lazy-branch-prob -opt-remark-emitter -basiccg -globals-aa -openmp-opt-cgscc -memoryssa -speculative-execution -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -lcssa-verification -scalar-evolution -loop-unswitch -loop-idiom -memdep -demanded-bits -bdce -elim-avail-extern -rpo-function-attrs -globaldce -float2int -loop-accesses -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -instsimplify,2.0075
4,-gvn -mem2reg -loop-sink -loop-distribute -instcombine -early-cse-memssa -dse -lcssa -loop-unroll -tbaa -targetlibinfo -verify -lower-expect -early-cse -profile-summary-info -annotation2metadata -forceattrs -callsite-splitting -globalopt -deadargelim -basic-aa -aa -loops -lazy-branch-prob -opt-remark-emitter -basiccg -globals-aa -openmp-opt-cgscc -speculative-execution -libcalls-shrinkwrap -postdomtree -branch-prob -pgo-memop-opt -tailcallelim -loop-simplify -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -memdep -demanded-bits -bdce -adce -barrier -globaldce -float2int -lower-constant-intrinsics -loop-accesses -loop-load-elim -instsimplify -div-rem-pairs -annotation-remarks,1.9914
5,-mem2reg -loop-sink -loop-distribute -early-cse-memssa -instcombine -licm -gvn -dse -assumption-cache-tracker -verify -lower-expect -simplifycfg -early-cse -profile-summary-info -forceattrs -inferattrs -globalopt -lazy-block-freq -basiccg -inline -openmp-opt-cgscc -speculative-execution -libcalls-shrinkwrap -postdomtree -tailcallelim -loop-simplify -lcssa-verification -scalar-evolution -loop-rotate -indvars -loop-deletion -memdep -demanded-bits -adce -float2int -lower-constant-intrinsics -loop-accesses -loop-load-elim -slp-vectorizer -transform-warning -alignment-from-assumptions -strip-dead-prototypes -constmerge -div-rem-pairs,1.9708
