Rank,Options,Speedup
1,-mem2reg -loop-sink -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -assumption-cache-tracker -targetlibinfo -lower-expect -simplifycfg -domtree -early-cse -forceattrs -inferattrs -called-value-propagation -globalopt -loops -basiccg -globals-aa -openmp-opt-cgscc -function-attrs -correlated-propagation -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -reassociate -loop-rotate -indvars -loop-deletion -mldst-motion -phi-values -demanded-bits -bdce -adce -barrier -elim-avail-extern -rpo-function-attrs -globaldce -float2int -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -alignment-from-assumptions -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs,1.4047
2,-sroa -jump-threading -instcombine -mem2reg -loop-sink -early-cse-memssa -lcssa -loop-unroll -licm -gvn -dse -memcpyopt -loop-distribute -tbaa -assumption-cache-tracker -lower-expect -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -callsite-splitting -called-value-propagation -lazy-branch-prob -opt-remark-emitter -openmp-opt-cgscc -function-attrs -postdomtree -block-freq -pgo-memop-opt -reassociate -loop-deletion -phi-values -bdce -adce -barrier -elim-avail-extern -rpo-function-attrs -float2int -loop-accesses -inject-tli-mappings -loop-vectorize -slp-vectorizer -transform-warning -strip-dead-prototypes -cg-profile -div-rem-pairs -annotation-remarks,1.2998
3,-prune-eh -mem2reg -loop-sink -lcssa -loop-unroll -instcombine -licm -gvn -dse -memcpyopt -loop-distribute -tti -tbaa -assumption-cache-tracker -targetlibinfo -simplifycfg -domtree -early-cse -profile-summary-info -inferattrs -called-value-propagation -globalopt -deadargelim -basic-aa -opt-remark-emitter -globals-aa -openmp-opt-cgscc -argpromotion -memoryssa -speculative-execution -libcalls-shrinkwrap -postdomtree -block-freq -pgo-memop-opt -reassociate -loop-simplify -loop-rotate -loop-deletion -mldst-motion -phi-values -memdep -bdce -adce -barrier -elim-avail-extern -globaldce -float2int -loop-accesses -inject-tli-mappings -loop-vectorize -slp-vectorizer -constmerge -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.1684
4,-mem2reg -loop-sink -early-cse-memssa -dse -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -tbaa -simplifycfg -early-cse -profile-summary-info -forceattrs -inferattrs -called-value-propagation -globalopt -loops -lazy-branch-prob -basiccg -globals-aa -inline -function-attrs -correlated-propagation -postdomtree -pgo-memop-opt -reassociate -lcssa-verification -scalar-evolution -loop-rotate -indvars -loop-deletion -mldst-motion -sccp -demanded-bits -bdce -adce -barrier -float2int -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-vectorize -transform-warning -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs,1.1559
5,-prune-eh -mem2reg -loop-sink -early-cse-memssa -dse -lcssa -loop-unroll -licm -gvn -instcombine -memcpyopt -loop-distribute -targetlibinfo -lower-expect -simplifycfg -early-cse -inferattrs -ipsccp -globalopt -basic-aa -globals-aa -function-attrs -correlated-propagation -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -tailcallelim -reassociate -loop-rotate -indvars -loop-deletion -mldst-motion -sccp -demanded-bits -bdce -adce -barrier -elim-avail-extern -float2int -loop-accesses -inject-tli-mappings -loop-vectorize -vector-combine -strip-dead-prototypes -cg-profile -instsimplify -annotation-remarks,1.1517
