Rank,Options,Speedup
1,-sroa -jump-threading -prune-eh -mem2reg -lcssa -loop-unroll -licm -gvn -dse -memcpyopt -loop-distribute -tti -targetlibinfo -lower-expect -simplifycfg -domtree -early-cse -inferattrs -globalopt -basic-aa -aa -loops -opt-remark-emitter -basiccg -globals-aa -inline -argpromotion -lazy-value-info -aggressive-instcombine -libcalls-shrinkwrap -block-freq -reassociate -loop-simplify -loop-rotate -loop-idiom -indvars -loop-deletion -memdep -sccp -adce -barrier -float2int -loop-accesses -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -strip-dead-prototypes -cg-profile -div-rem-pairs,2.1204
2,-sroa -jump-threading -mem2reg -prune-eh -lcssa -loop-unroll -instcombine -licm -gvn -dse -memcpyopt -loop-distribute -tti -scoped-noalias-aa -targetlibinfo -verify -lower-expect -simplifycfg -domtree -early-cse -forceattrs -inferattrs -callsite-splitting -ipsccp -aa -loops -globals-aa -inline -argpromotion -memoryssa -lazy-value-info -postdomtree -block-freq -reassociate -loop-idiom -indvars -loop-deletion -mldst-motion -phi-values -memdep -adce -barrier -rpo-function-attrs -loop-accesses -slp-vectorizer -transform-warning -alignment-from-assumptions -strip-dead-prototypes -cg-profile -div-rem-pairs,1.9988
3,-sroa -jump-threading -mem2reg -loop-sink -early-cse-memssa -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -tti -tbaa -assumption-cache-tracker -verify -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -inferattrs -callsite-splitting -lazy-block-freq -opt-remark-emitter -globals-aa -openmp-opt-cgscc -argpromotion -memoryssa -lazy-value-info -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -tailcallelim -reassociate -scalar-evolution -loop-idiom -indvars -loop-deletion -mldst-motion -phi-values -sccp -barrier -globaldce -float2int -lower-constant-intrinsics -inject-tli-mappings -loop-load-elim -slp-vectorizer -transform-warning -alignment-from-assumptions -cg-profile -div-rem-pairs,1.9827
4,-sroa -jump-threading -prune-eh -mem2reg -gvn -instcombine -early-cse-memssa -dse -lcssa -loop-unroll -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -verify -lower-expect -domtree -profile-summary-info -annotation2metadata -forceattrs -inferattrs -callsite-splitting -ipsccp -called-value-propagation -globalopt -deadargelim -aa -loops -lazy-branch-prob -opt-remark-emitter -basiccg -globals-aa -inline -function-attrs -argpromotion -postdomtree -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -loop-rotate -loop-unswitch -loop-idiom -loop-deletion -mldst-motion -phi-values -memdep -demanded-bits -barrier -rpo-function-attrs -globaldce -lower-constant-intrinsics -loop-accesses -slp-vectorizer -transform-warning -alignment-from-assumptions -strip-dead-prototypes -cg-profile -div-rem-pairs -annotation-remarks,1.9712
5,-mem2reg -loop-sink -early-cse-memssa -instcombine -licm -gvn -dse -memcpyopt -loop-distribute -tti -scoped-noalias-aa -verify -lower-expect -simplifycfg -domtree -profile-summary-info -inferattrs -ipsccp -globalopt -deadargelim -basic-aa -aa -loops -lazy-branch-prob -opt-remark-emitter -globals-aa -openmp-opt-cgscc -argpromotion -memoryssa -lazy-value-info -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -block-freq -reassociate -loop-rotate -loop-idiom -indvars -mldst-motion -phi-values -demanded-bits -adce -barrier -rpo-function-attrs -float2int -loop-vectorize -loop-load-elim -vector-combine -strip-dead-prototypes -constmerge -cg-profile -annotation-remarks,1.8637
