Rank,Options,Speedup
1,-sroa -jump-threading -mem2reg -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -tti -scoped-noalias-aa -assumption-cache-tracker -domtree -early-cse -annotation2metadata -inferattrs -callsite-splitting -ipsccp -globalopt -deadargelim -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -inline -openmp-opt-cgscc -function-attrs -argpromotion -lazy-value-info -aggressive-instcombine -branch-prob -block-freq -reassociate -lcssa-verification -loop-rotate -loop-unswitch -indvars -loop-deletion -mldst-motion -phi-values -memdep -sccp -demanded-bits -bdce -barrier -elim-avail-extern -rpo-function-attrs -float2int -lower-constant-intrinsics -loop-accesses -loop-load-elim -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -div-rem-pairs,2.5232
2,-sroa -jump-threading -mem2reg -early-cse-memssa -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -scoped-noalias-aa -domtree -early-cse -forceattrs -inferattrs -ipsccp -globalopt -deadargelim -basic-aa -aa -loops -lazy-block-freq -opt-remark-emitter -inline -openmp-opt-cgscc -function-attrs -argpromotion -memoryssa -lazy-value-info -correlated-propagation -aggressive-instcombine -postdomtree -branch-prob -reassociate -loop-simplify -lcssa-verification -loop-rotate -loop-unswitch -indvars -loop-deletion -mldst-motion -phi-values -memdep -sccp -demanded-bits -bdce -barrier -elim-avail-extern -rpo-function-attrs -float2int -lower-constant-intrinsics -loop-accesses -slp-vectorizer -vector-combine -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -div-rem-pairs -annotation-remarks,2.3826
3,-sroa -jump-threading -mem2reg -dse -early-cse-memssa -lcssa -loop-unroll -licm -gvn -instcombine -memcpyopt -loop-distribute -tti -domtree -annotation2metadata -inferattrs -ipsccp -globalopt -deadargelim -basic-aa -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -openmp-opt-cgscc -function-attrs -argpromotion -memoryssa -lazy-value-info -aggressive-instcombine -postdomtree -branch-prob -block-freq -reassociate -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -mldst-motion -phi-values -sccp -demanded-bits -adce -barrier -elim-avail-extern -rpo-function-attrs -float2int -lower-constant-intrinsics -loop-accesses -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -div-rem-pairs,2.3472
4,-sroa -jump-threading -mem2reg -loop-sink -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -early-cse -annotation2metadata -callsite-splitting -ipsccp -called-value-propagation -globalopt -deadargelim -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -basiccg -inline -openmp-opt-cgscc -function-attrs -argpromotion -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -branch-prob -block-freq -tailcallelim -reassociate -lcssa-verification -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -mldst-motion -phi-values -memdep -sccp -demanded-bits -bdce -barrier -elim-avail-extern -rpo-function-attrs -float2int -lower-constant-intrinsics -loop-accesses -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -div-rem-pairs,2.3340
5,-sroa -jump-threading -prune-eh -mem2reg -loop-sink -loop-distribute -early-cse-memssa -lcssa -loop-unroll -licm -gvn -instcombine -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -lower-expect -profile-summary-info -annotation2metadata -forceattrs -inferattrs -callsite-splitting -ipsccp -globalopt -deadargelim -aa -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -openmp-opt-cgscc -function-attrs -argpromotion -speculative-execution -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -branch-prob -pgo-memop-opt -tailcallelim -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -loop-deletion -sccp -adce -barrier -elim-avail-extern -globaldce -float2int -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -slp-vectorizer -alignment-from-assumptions -instsimplify -div-rem-pairs -annotation-remarks,2.3166
