Rank,Options,Speedup
1,-sroa -jump-threading -mem2reg -gvn -early-cse-memssa -dse -lcssa -loop-unroll -tti -assumption-cache-tracker -targetlibinfo -verify -profile-summary-info -forceattrs -inferattrs -called-value-propagation -globalopt -deadargelim -basic-aa -aa -loops -lazy-block-freq -opt-remark-emitter -basiccg -inline -function-attrs -memoryssa -speculative-execution -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -branch-prob -block-freq -pgo-memop-opt -tailcallelim -reassociate -scalar-evolution -loop-rotate -indvars -memdep -sccp -barrier -elim-avail-extern -rpo-function-attrs -globaldce -float2int -loop-accesses -inject-tli-mappings -loop-vectorize -vector-combine -strip-dead-prototypes -constmerge -div-rem-pairs -annotation-remarks,1.1942
2,-sroa -jump-threading -mem2reg -loop-sink -lcssa -loop-unroll -licm -gvn -dse -memcpyopt -loop-distribute -tti -assumption-cache-tracker -targetlibinfo -verify -lower-expect -domtree -profile-summary-info -annotation2metadata -ipsccp -globalopt -deadargelim -basic-aa -aa -opt-remark-emitter -inline -function-attrs -memoryssa -speculative-execution -aggressive-instcombine -libcalls-shrinkwrap -pgo-memop-opt -tailcallelim -scalar-evolution -loop-rotate -loop-idiom -indvars -loop-deletion -mldst-motion -phi-values -memdep -demanded-bits -barrier -elim-avail-extern -rpo-function-attrs -globaldce -lower-constant-intrinsics -inject-tli-mappings -strip-dead-prototypes -cg-profile -div-rem-pairs -annotation-remarks,1.1931
3,-sroa -jump-threading -mem2reg -loop-sink -loop-distribute -early-cse-memssa -lcssa -loop-unroll -licm -gvn -dse -tti -assumption-cache-tracker -targetlibinfo -verify -lower-expect -domtree -profile-summary-info -annotation2metadata -forceattrs -callsite-splitting -globalopt -basic-aa -aa -loops -lazy-block-freq -opt-remark-emitter -basiccg -inline -function-attrs -aggressive-instcombine -branch-prob -tailcallelim -scalar-evolution -loop-rotate -indvars -loop-deletion -phi-values -memdep -sccp -demanded-bits -adce -barrier -elim-avail-extern -rpo-function-attrs -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -constmerge -instsimplify -annotation-remarks,1.1930
4,-sroa -jump-threading -prune-eh -mem2reg -gvn -dse -lcssa -loop-unroll -memcpyopt -loop-distribute -tti -tbaa -targetlibinfo -verify -profile-summary-info -annotation2metadata -ipsccp -called-value-propagation -globalopt -deadargelim -basic-aa -opt-remark-emitter -basiccg -globals-aa -inline -speculative-execution -lazy-value-info -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -tailcallelim -scalar-evolution -loop-rotate -loop-unswitch -indvars -loop-deletion -mldst-motion -phi-values -memdep -sccp -demanded-bits -adce -elim-avail-extern -rpo-function-attrs -globaldce -float2int -loop-vectorize -loop-load-elim -vector-combine -transform-warning -strip-dead-prototypes -constmerge -div-rem-pairs,1.1914
5,-sroa -jump-threading -mem2reg -lcssa -loop-unroll -licm -gvn -dse -memcpyopt -loop-distribute -tti -scoped-noalias-aa -targetlibinfo -verify -lower-expect -profile-summary-info -forceattrs -ipsccp -deadargelim -lazy-branch-prob -opt-remark-emitter -inline -function-attrs -speculative-execution -aggressive-instcombine -postdomtree -block-freq -tailcallelim -reassociate -scalar-evolution -loop-rotate -indvars -phi-values -memdep -sccp -barrier -elim-avail-extern -rpo-function-attrs -float2int -loop-accesses -inject-tli-mappings -strip-dead-prototypes -constmerge -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.1911
