Rank,Options,Speedup
1,-mem2reg -dse -early-cse-memssa -lcssa -loop-unroll -licm -gvn -instcombine -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -simplifycfg -early-cse -forceattrs -inferattrs -callsite-splitting -ipsccp -globalopt -aa -opt-remark-emitter -basiccg -inline -openmp-opt-cgscc -lazy-value-info -correlated-propagation -libcalls-shrinkwrap -block-freq -pgo-memop-opt -loop-simplify -lcssa-verification -scalar-evolution -loop-unswitch -indvars -loop-deletion -phi-values -sccp -demanded-bits -barrier -elim-avail-extern -globaldce -float2int -loop-accesses -loop-vectorize -loop-load-elim -vector-combine -alignment-from-assumptions,43.0584
2,-mem2reg -loop-sink -loop-distribute -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -simplifycfg -domtree -profile-summary-info -annotation2metadata -forceattrs -callsite-splitting -globalopt -loops -lazy-block-freq -inline -openmp-opt-cgscc -function-attrs -memoryssa -lazy-value-info -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -branch-prob -pgo-memop-opt -tailcallelim -loop-simplify -scalar-evolution -loop-idiom -indvars -memdep -demanded-bits -adce -rpo-function-attrs -globaldce -loop-vectorize -loop-load-elim -vector-combine -transform-warning -constmerge -instsimplify,41.4089
3,-mem2reg -gvn -instcombine -lcssa -loop-unroll -memcpyopt -loop-distribute -scoped-noalias-aa -assumption-cache-tracker -early-cse -profile-summary-info -annotation2metadata -inferattrs -callsite-splitting -ipsccp -deadargelim -basic-aa -loops -lazy-branch-prob -inline -openmp-opt-cgscc -argpromotion -memoryssa -lazy-value-info -correlated-propagation -branch-prob -tailcallelim -loop-simplify -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -memdep -bdce -globaldce -float2int -lower-constant-intrinsics -loop-vectorize -loop-load-elim -transform-warning -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.1250
4,-mem2reg -instcombine -early-cse-memssa -dse -lcssa -loop-unroll -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -targetlibinfo -verify -lower-expect -domtree -early-cse -annotation2metadata -called-value-propagation -globalopt -deadargelim -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -basiccg -globals-aa -inline -openmp-opt-cgscc -function-attrs -argpromotion -memoryssa -speculative-execution -lazy-value-info -correlated-propagation -libcalls-shrinkwrap -postdomtree -branch-prob -block-freq -pgo-memop-opt -loop-simplify -loop-idiom -loop-deletion -sccp -demanded-bits -adce -barrier -rpo-function-attrs -globaldce -float2int -loop-accesses -loop-vectorize -loop-load-elim -vector-combine -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.0668
5,-sroa -jump-threading -mem2reg -early-cse-memssa -dse -lcssa -loop-unroll -instcombine -licm -gvn -prune-eh -assumption-cache-tracker -verify -domtree -profile-summary-info -annotation2metadata -forceattrs -inferattrs -globalopt -aa -lazy-branch-prob -opt-remark-emitter -globals-aa -inline -openmp-opt-cgscc -argpromotion -memoryssa -speculative-execution -lazy-value-info -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -branch-prob -block-freq -scalar-evolution -loop-rotate -loop-unswitch -indvars -barrier -lower-constant-intrinsics -inject-tli-mappings -loop-vectorize -alignment-from-assumptions -constmerge -cg-profile -annotation-remarks,1.0441
