Rank,Options,Speedup
1,-sroa -jump-threading -instcombine -mem2reg -loop-sink -early-cse-memssa -dse -lcssa -loop-unroll -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -scoped-noalias-aa -assumption-cache-tracker -verify -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -inferattrs -callsite-splitting -ipsccp -called-value-propagation -aa -loops -opt-remark-emitter -basiccg -globals-aa -inline -function-attrs -argpromotion -memoryssa -lazy-value-info -aggressive-instcombine -libcalls-shrinkwrap -branch-prob -block-freq -pgo-memop-opt -reassociate -loop-simplify -lcssa-verification -scalar-evolution -loop-unswitch -loop-idiom -indvars -loop-deletion -mldst-motion -bdce -adce -elim-avail-extern -globaldce -lower-constant-intrinsics -loop-accesses -loop-vectorize -loop-load-elim -vector-combine -alignment-from-assumptions -cg-profile -annotation-remarks,1.1366
2,-sroa -jump-threading -instcombine -dse -mem2reg -loop-sink -lcssa -loop-unroll -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -assumption-cache-tracker -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -inferattrs -called-value-propagation -deadargelim -basic-aa -aa -loops -opt-remark-emitter -basiccg -inline -function-attrs -argpromotion -lazy-value-info -aggressive-instcombine -libcalls-shrinkwrap -branch-prob -pgo-memop-opt -reassociate -lcssa-verification -indvars -loop-deletion -phi-values -sccp -demanded-bits -bdce -adce -elim-avail-extern -rpo-function-attrs -lower-constant-intrinsics -loop-accesses -vector-combine -alignment-from-assumptions -cg-profile -annotation-remarks,1.1332
3,-sroa -jump-threading -mem2reg -loop-sink -early-cse-memssa -dse -lcssa -loop-unroll -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -scoped-noalias-aa -assumption-cache-tracker -verify -simplifycfg -early-cse -annotation2metadata -forceattrs -inferattrs -ipsccp -globalopt -loops -opt-remark-emitter -globals-aa -inline -function-attrs -argpromotion -memoryssa -speculative-execution -libcalls-shrinkwrap -postdomtree -branch-prob -pgo-memop-opt -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -mldst-motion -adce -barrier -globaldce -lower-constant-intrinsics -loop-accesses -loop-vectorize -loop-load-elim -vector-combine -alignment-from-assumptions -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.1248
4,-sroa -jump-threading -mem2reg -loop-sink -early-cse-memssa -dse -lcssa -loop-unroll -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -scoped-noalias-aa -assumption-cache-tracker -verify -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -inferattrs -callsite-splitting -ipsccp -called-value-propagation -aa -loops -opt-remark-emitter -basiccg -globals-aa -inline -function-attrs -argpromotion -memoryssa -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -branch-prob -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -lcssa-verification -loop-idiom -indvars -loop-deletion -mldst-motion -bdce -adce -elim-avail-extern -loop-accesses -loop-load-elim -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs -annotation-remarks,1.1067
5,-sroa -jump-threading -instcombine -prune-eh -gvn -mem2reg -loop-sink -early-cse-memssa -dse -lcssa -loop-unroll -memcpyopt -loop-distribute -tti -verify -lower-expect -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -inferattrs -callsite-splitting -ipsccp -called-value-propagation -aa -loops -opt-remark-emitter -basiccg -globals-aa -inline -argpromotion -memoryssa -lazy-value-info -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -branch-prob -block-freq -pgo-memop-opt -reassociate -loop-simplify -lcssa-verification -indvars -loop-deletion -mldst-motion -demanded-bits -bdce -adce -elim-avail-extern -globaldce -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -vector-combine -alignment-from-assumptions -cg-profile -annotation-remarks,1.0986
