Rank,Options,Speedup
1,-sroa -jump-threading -dse -mem2reg -loop-sink -licm -gvn -instcombine -memcpyopt -loop-distribute -tti -tbaa -assumption-cache-tracker -targetlibinfo -verify -simplifycfg -forceattrs -inferattrs -ipsccp -called-value-propagation -globalopt -basic-aa -lazy-branch-prob -basiccg -globals-aa -function-attrs -memoryssa -speculative-execution -lazy-value-info -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -lcssa-verification -scalar-evolution -loop-rotate -phi-values -sccp -demanded-bits -bdce -adce -inject-tli-mappings -vector-combine -transform-warning -alignment-from-assumptions -constmerge -cg-profile -annotation-remarks,2.0800
2,-sroa -jump-threading -mem2reg -instcombine -early-cse-memssa -prune-eh -licm -gvn -dse -tti -tbaa -verify -simplifycfg -domtree -profile-summary-info -annotation2metadata -forceattrs -inferattrs -callsite-splitting -ipsccp -called-value-propagation -globalopt -basic-aa -loops -lazy-branch-prob -opt-remark-emitter -basiccg -globals-aa -function-attrs -libcalls-shrinkwrap -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -loop-rotate -loop-unswitch -indvars -loop-deletion -phi-values -sccp -bdce -float2int -lower-constant-intrinsics -vector-combine -alignment-from-assumptions -constmerge -cg-profile -div-rem-pairs -annotation-remarks,1.7705
3,-gvn -mem2reg -loop-sink -loop-distribute -instcombine -early-cse-memssa -dse -tti -scoped-noalias-aa -profile-summary-info -forceattrs -inferattrs -called-value-propagation -loops -lazy-block-freq -opt-remark-emitter -basiccg -globals-aa -argpromotion -speculative-execution -lazy-value-info -correlated-propagation -aggressive-instcombine -postdomtree -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -lcssa-verification -loop-rotate -phi-values -sccp -adce -elim-avail-extern -float2int -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-load-elim -vector-combine -transform-warning -alignment-from-assumptions -cg-profile -annotation-remarks,1.7365
4,-mem2reg -loop-sink -early-cse-memssa -instcombine -licm -gvn -dse -memcpyopt -loop-distribute -tbaa -targetlibinfo -verify -annotation2metadata -forceattrs -inferattrs -ipsccp -called-value-propagation -globalopt -basic-aa -loops -lazy-branch-prob -basiccg -globals-aa -inline -function-attrs -speculative-execution -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -pgo-memop-opt -tailcallelim -reassociate -loop-rotate -loop-idiom -loop-deletion -phi-values -demanded-bits -bdce -adce -float2int -loop-accesses -vector-combine -transform-warning -alignment-from-assumptions -constmerge -cg-profile -annotation-remarks,1.7250
5,-sroa -jump-threading -mem2reg -loop-sink -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -tbaa -scoped-noalias-aa -verify -domtree -profile-summary-info -annotation2metadata -forceattrs -inferattrs -ipsccp -called-value-propagation -globalopt -basic-aa -loops -opt-remark-emitter -basiccg -globals-aa -openmp-opt-cgscc -function-attrs -argpromotion -speculative-execution -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -loop-rotate -phi-values -memdep -sccp -bdce -float2int -lower-constant-intrinsics -slp-vectorizer -vector-combine -alignment-from-assumptions -constmerge -cg-profile -annotation-remarks,1.6974
